split,features,rows,train_rows,test_rows,target,mae,r2,elapsed_seconds,cutoff_time,train_start,train_end,test_start,test_end
random_75_25,15,355750,266812,88938,occupancy_rate,0.12244267347396615,0.5575893915976885,1.8871102999983123,,,,,
time_unique_80_20,15,355750,284558,71192,occupancy_rate,0.12982957257315478,0.49951745642828094,1.2166719000015291,2023-01-23T19:05:00,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00
