model,stage,trial,metric_scope,features,train_rows,eval_rows,mae,r2,elapsed_seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
baseline_validation,baseline,0,validation,52,485605,90631,0.03021420150397512,0.9281102067014226,8.315989199996693,500,5,0.04,0.85,0.85,1,0.0,1.0
optuna_best_validation,optuna,53,validation,52,485605,90631,0.028643320594255537,0.9311317684376217,41.16961519999313,800,10,0.013387836038795686,0.6,0.8,7,0.01,15.0
baseline_test,baseline,0,test,52,576236,143764,0.024764056676205404,0.9490005569314872,9.10783240001183,500,5,0.04,0.85,0.85,1,0.0,1.0
optuna_best_test,optuna_best,53,test,52,576236,143764,0.023546534477397348,0.9505566234721574,32.22259560000384,800,10,0.013387836038795686,0.6,0.8,7,0.01,15.0
