model,features,mae,r2,elapsed_seconds
avg_hour_weekday_max_depth7_n_estimators500_learning_rate0.04,16,0.1243650001618178,0.5207519284685144,3.559364500004449
avg_hour_weekday_max_depth6_n_estimators500_learning_rate0.04,16,0.12504585815772443,0.517662167294253,3.1304621000017505
avg_hour_weekday_holiday,17,0.1251867549798658,0.5157934241413975,1.7725823000000673
avg_hour_weekday_max_depth5_n_estimators800_learning_rate0.025,16,0.12534673997995588,0.5150574321943733,4.37666590000299
avg_hour,15,0.12543970958544762,0.5159766245451911,1.5379718000040157
avg_hour_weekday,16,0.12550211743137318,0.514468687059924,1.3052902000054019
avg_hour_daypart,16,0.12560138684656755,0.5145614327167156,1.3478916000021854
avg_daypart,15,0.12713553792294893,0.5097434911805014,1.3210705000019516
avg_weekday,15,0.13071388706023188,0.49438578909618136,1.2228370000011637
