occupancy_lag_1,prediction_horizon_min,predicted_occupancy_rate
0.0,5.0,0.13136017322540283
0.0,5.0,0.13136017322540283
0.0,5.0,0.13136017322540283
0.0,5.0,0.13136017322540283
0.1,5.0,0.16657668352127075
0.16666666666666666,5.0,0.20791937410831451
0.2,5.0,0.22813940048217773
0.25,5.0,0.2520560622215271
0.3333333333333333,5.0,0.2909834682941437
0.4166666666666667,5.0,0.3321246802806854
0.5,5.0,0.36206820607185364
0.8333333333333334,5.0,0.3853018283843994
0.0,10.0,0.14284314215183258
0.0,10.0,0.14284314215183258
0.0,10.0,0.14284314215183258
0.0,10.0,0.14284314215183258
0.1,10.0,0.17676439881324768
0.16666666666666666,10.0,0.2190529853105545
0.2,10.0,0.2392231673002243
0.25,10.0,0.2597740888595581
0.3333333333333333,10.0,0.2928237020969391
0.4166666666666667,10.0,0.33379489183425903
0.5,10.0,0.3627064526081085
0.8333333333333334,10.0,0.38600724935531616
0.0,15.0,0.14064320921897888
0.0,15.0,0.14064320921897888
0.0,15.0,0.14064320921897888
0.0,15.0,0.14064320921897888
0.1,15.0,0.17472104728221893
0.16666666666666666,15.0,0.21839705109596252
0.2,15.0,0.2386564314365387
0.25,15.0,0.25955548882484436
0.3333333333333333,15.0,0.29318341612815857
0.4166666666666667,15.0,0.3338904082775116
0.5,15.0,0.362973153591156
0.8333333333333334,15.0,0.3847684860229492
0.0,20.0,0.1389722228050232
0.0,20.0,0.1389722228050232
0.0,20.0,0.1389722228050232
0.0,20.0,0.1389722228050232
0.1,20.0,0.17298473417758942
0.16666666666666666,20.0,0.21578222513198853
0.2,20.0,0.23610447347164154
0.25,20.0,0.2575881779193878
0.3333333333333333,20.0,0.29225417971611023
0.4166666666666667,20.0,0.3320603370666504
0.5,20.0,0.3625003397464752
0.8333333333333334,20.0,0.3830142319202423
0.0,30.0,0.14094793796539307
0.0,30.0,0.14094793796539307
0.0,30.0,0.14094793796539307
0.0,30.0,0.14094793796539307
0.1,30.0,0.17415417730808258
0.16666666666666666,30.0,0.2166067659854889
0.2,30.0,0.23668096959590912
0.25,30.0,0.25844064354896545
0.3333333333333333,30.0,0.2923756241798401
0.4166666666666667,30.0,0.3305697441101074
0.5,30.0,0.3624478280544281
0.8333333333333334,30.0,0.3824596405029297
0.0,45.0,0.1485055387020111
0.0,45.0,0.1485055387020111
0.0,45.0,0.1485055387020111
0.0,45.0,0.1485055387020111
0.1,45.0,0.18094736337661743
0.16666666666666666,45.0,0.22028692066669464
0.2,45.0,0.24006062746047974
0.25,45.0,0.2610303461551666
0.3333333333333333,45.0,0.2929585576057434
0.4166666666666667,45.0,0.3307378888130188
0.5,45.0,0.3619626462459564
0.8333333333333334,45.0,0.3782772719860077
0.0,60.0,0.15280863642692566
0.0,60.0,0.15280863642692566
0.0,60.0,0.15280863642692566
0.0,60.0,0.15280863642692566
0.1,60.0,0.18308284878730774
0.16666666666666666,60.0,0.221809983253479
0.2,60.0,0.24145673215389252
0.25,60.0,0.263468474149704
0.3333333333333333,60.0,0.29429686069488525
0.4166666666666667,60.0,0.3311971426010132
0.5,60.0,0.3609219491481781
0.8333333333333334,60.0,0.3771078586578369
0.0,90.0,0.15341342985630035
0.0,90.0,0.15341342985630035
0.0,90.0,0.15341342985630035
0.0,90.0,0.15341342985630035
0.1,90.0,0.18310779333114624
0.16666666666666666,90.0,0.22202494740486145
0.2,90.0,0.24071988463401794
0.25,90.0,0.26216211915016174
0.3333333333333333,90.0,0.2927062511444092
0.4166666666666667,90.0,0.3287030756473541
0.5,90.0,0.3569808900356293
0.8333333333333334,90.0,0.37233251333236694
0.0,120.0,0.1496218889951706
0.0,120.0,0.1496218889951706
0.0,120.0,0.1496218889951706
0.0,120.0,0.1496218889951706
0.1,120.0,0.17582295835018158
0.16666666666666666,120.0,0.22114884853363037
0.2,120.0,0.2392919659614563
0.25,120.0,0.2608537971973419
0.3333333333333333,120.0,0.29234644770622253
0.4166666666666667,120.0,0.32749491930007935
0.5,120.0,0.3552296459674835
0.8333333333333334,120.0,0.3719949424266815
