non_poi_variant,removed_non_poi,poi_feature_count,poi_features,features,feature_list,mae,r2,elapsed_seconds
no_evening_peak,is_evening_peak,3,poi_total_count|poi_lifestyle_services_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_food_beverage_ratio,0.12865259212528524,0.5097040081575779,4.379547399999865
all_non_poi,,3,poi_total_count|poi_business_residential_ratio|poi_food_beverage_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_ratio|poi_food_beverage_ratio,0.12871826013593698,0.5096898708610289,4.4921333999991475
no_evening_peak,is_evening_peak,3,poi_total_count|poi_lifestyle_ratio|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.1286691931939717,0.5096549694244202,4.703857099997549
no_evening_peak,is_evening_peak,3,poi_business_residential_count|poi_food_beverage_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count|poi_food_beverage_count|poi_food_beverage_ratio,0.12863493497737735,0.5096430278598981,4.424817600000097
no_evening_peak,is_evening_peak,3,poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,0.12857505208648276,0.5096353677896817,5.137671399999817
all_non_poi,,3,poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_ratio,0.12870724394439464,0.509626952952068,4.612047399998119
all_non_poi,,3,poi_total_count|poi_lifestyle_services_count|poi_food_beverage_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_food_beverage_ratio,0.12870906519982994,0.5096234697903359,4.980179199999839
no_humidity,humidity,1,poi_food_beverage_count,14,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_food_beverage_count,0.12867723686307314,0.5096164223971823,4.066508899999462
no_evening_peak,is_evening_peak,3,poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio,0.12855063452782908,0.5096099999910654,4.554697399998986
all_non_poi,,2,poi_total_count|poi_lifestyle_services_count,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count,0.12871046030271108,0.5095817086212213,5.804181500003324
no_humidity_evening_peak,humidity|is_evening_peak,2,poi_lifestyle_ratio|poi_food_beverage_ratio,14,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12858587991391812,0.509578256439316,4.78547239999898
no_evening_peak,is_evening_peak,3,poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.12852502945022748,0.5095776804434602,5.170231600000989
no_evening_peak,is_evening_peak,3,poi_total_count|poi_lifestyle_ratio|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12857741660241018,0.5095620050081762,4.582157199998619
no_evening_peak,is_evening_peak,3,poi_business_residential_count|poi_lifestyle_ratio|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.12858011626140908,0.509556899584779,4.597933100001683
no_humidity,humidity,1,poi_food_beverage_ratio,14,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_food_beverage_ratio,0.12872131054235278,0.5095536468691713,4.825424999999086
no_evening_peak,is_evening_peak,2,poi_business_residential_count|poi_lifestyle_ratio,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count|poi_lifestyle_ratio,0.12860207125653517,0.5095488867021247,5.019094600000244
all_non_poi,,3,poi_total_count|poi_business_residential_count|poi_lifestyle_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_count|poi_lifestyle_ratio,0.12857006966297274,0.5095438259134315,4.6332905999988725
no_humidity,humidity,1,poi_lifestyle_ratio,14,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_ratio,0.12852854624393217,0.5095404249783249,3.7372874000029697
no_evening_peak,is_evening_peak,3,poi_food_beverage_count|poi_business_residential_ratio|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_food_beverage_count|poi_business_residential_ratio|poi_food_beverage_ratio,0.12853481339897885,0.5095230657572962,5.090060200000153
no_humidity,humidity,0,,13,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak,0.12870720686929604,0.5095158960173396,4.202560500001709
all_non_poi,,2,poi_business_residential_count|poi_lifestyle_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count|poi_lifestyle_ratio,0.12859521524579473,0.5095065949747937,4.479569999999512
all_non_poi,,3,poi_total_count|poi_business_residential_count|poi_business_residential_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_count|poi_business_residential_ratio,0.12868492905559803,0.5094654224585694,4.947982499998034
all_non_poi,,1,poi_total_count,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count,0.12869415566694128,0.5094098584755304,4.165740299999015
all_non_poi,,3,poi_food_beverage_count|poi_lifestyle_ratio|poi_food_beverage_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_food_beverage_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12876200454501516,0.509378443708089,5.685252100000071
no_evening_peak,is_evening_peak,2,poi_total_count|poi_food_beverage_count,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_food_beverage_count,0.1286971178721047,0.509364350901053,4.446159999999509
no_evening_peak,is_evening_peak,2,poi_lifestyle_ratio|poi_food_beverage_ratio,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_ratio|poi_food_beverage_ratio,0.1287160249675309,0.5093539980095678,5.731346900000062
all_non_poi,,3,poi_business_residential_count|poi_food_beverage_count|poi_business_residential_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count|poi_food_beverage_count|poi_business_residential_ratio,0.12870671384598578,0.5093484063881957,4.9219042000004265
all_non_poi,,3,poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count,0.12881119392493462,0.5093474515164764,4.326689700003044
no_evening_peak,is_evening_peak,1,poi_business_residential_count,14,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count,0.12866248709624445,0.5093454407860393,4.754214199998387
no_humidity,humidity,1,poi_business_residential_count,14,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count,0.12867044022846394,0.5093313691454142,4.587658899999951
no_evening_peak,is_evening_peak,2,poi_business_residential_count|poi_food_beverage_count,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count|poi_food_beverage_count,0.12877177062835013,0.5093248129634851,4.9791160999993735
all_non_poi,,3,poi_total_count|poi_business_residential_count|poi_food_beverage_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_count|poi_food_beverage_ratio,0.12879356245965218,0.5093180618948078,4.406502800000453
all_non_poi,,2,poi_lifestyle_ratio|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12862902591534767,0.509306374236474,4.359667600001558
all_non_poi,,1,poi_business_residential_count,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count,0.12870577964312485,0.5092902441646676,3.1012644999973418
all_non_poi,,3,poi_food_beverage_count|poi_business_residential_ratio|poi_food_beverage_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_food_beverage_count|poi_business_residential_ratio|poi_food_beverage_ratio,0.12876645050181182,0.5092733119179921,4.461012499999924
no_evening_peak,is_evening_peak,2,poi_food_beverage_count|poi_business_residential_ratio,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_food_beverage_count|poi_business_residential_ratio,0.12872567786532166,0.5092087433794936,4.955062699998962
all_non_poi,,2,poi_total_count|poi_food_beverage_count,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_food_beverage_count,0.1287225422412753,0.5091696150525227,4.474046899998939
all_non_poi,,2,poi_total_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_food_beverage_ratio,0.12872274143849882,0.5090857732298999,4.715064099997107
no_humidity_evening_peak,humidity|is_evening_peak,0,,12,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak,0.12872973026022894,0.5090751787069999,4.575036300000647
all_non_poi,,3,poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio,17,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.12865431243278314,0.5090637403793039,6.843274300001212
all_non_poi,,1,poi_lifestyle_services_count,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count,0.12869768123920033,0.5090632877404366,3.364047800001572
no_evening_peak,is_evening_peak,3,poi_food_beverage_count|poi_lifestyle_ratio|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_food_beverage_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12863888400256315,0.5090465015156622,5.139915299998393
all_non_poi,,2,poi_lifestyle_services_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_food_beverage_ratio,0.12873212259705763,0.5089760525824989,4.22380720000001
all_non_poi,,2,poi_lifestyle_services_count|poi_food_beverage_count,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_food_beverage_count,0.12879477128270603,0.5089733272303577,4.665486300000339
all_non_poi,,1,poi_business_residential_ratio,15,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_ratio,0.12881698580153597,0.5089368756572428,3.662753900000098
all_non_poi,,2,poi_business_residential_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count|poi_food_beverage_ratio,0.12876341635158933,0.5089192032983194,3.4102318000004743
no_humidity,humidity,1,poi_business_residential_ratio,14,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_ratio,0.12875644626902003,0.5089176793273412,3.8937284000021464
