features,feature_list,removed_feature,mae,r2,elapsed_seconds,step,accepted
20,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_business_residential_count,0.1284589728068222,0.5111384675533741,5.413642600000458,1,False
20,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_food_beverage_count,0.12842704411726166,0.5109432432218601,4.733588400002191,1,False
20,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_business_residential_ratio|poi_food_beverage_ratio,poi_lifestyle_ratio,0.12864547302465063,0.5097634690097229,5.324549699998897,1,False
20,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_food_beverage_ratio,poi_business_residential_ratio,0.12845614085608165,0.5108024360598451,5.040840800000296,1,False
20,station_id|weekday|hour|is_holiday|temperature|humidity|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio,poi_food_beverage_ratio,0.1284382527171126,0.510488673837776,4.744517999999516,1,False
19,weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,station_id,0.12809203178301498,0.5135080876013376,4.809413499999209,2,False
19,station_id|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,weekday,0.12856807720447297,0.5102805168938165,5.011303899998893,2,False
19,station_id|weekday|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,hour,0.1313921541211354,0.49692805802353457,4.899459899999783,2,False
19,station_id|weekday|hour|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,is_holiday,0.1279033594223168,0.5138215552266129,4.43447229999947,2,False
19,station_id|weekday|hour|is_holiday|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,temperature,0.13000214581882524,0.49708723926540177,5.220058400002017,2,False
19,station_id|weekday|hour|is_holiday|temperature|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,rain,0.12772637044957244,0.513610572182125,5.730670000000828,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,charge_count,0.1280554260827178,0.5124724811721308,5.046159499997884,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,s_price,0.12811409133948212,0.513263969293651,3.925797699997929,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,e_price,0.12796144382803093,0.5134667870748129,4.521886200000154,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,station_avg_occupancy,0.13796561571384006,0.4765844649125148,5.280412100000831,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,station_avg_duration,0.12897306394537422,0.5064273938738296,4.808467500002735,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,is_morning_peak,0.12783985898539732,0.5141476425909487,4.589633900002809,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,is_evening_peak,0.1278209152912671,0.5145363010418097,5.2330685000015364,2,True
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_total_count,0.1280132663976734,0.5131444892319589,8.043273100000079,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_lifestyle_services_count,0.12796217434135163,0.5135000259595783,7.387592200000654,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_business_residential_count,0.12795626651731928,0.5132490496422393,4.743706100001873,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_food_beverage_count,0.1278726278462417,0.5137982361168053,4.69598219999898,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_business_residential_ratio|poi_food_beverage_ratio,poi_lifestyle_ratio,0.1278436811877165,0.5143806762175316,5.191607600001589,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_food_beverage_ratio,poi_business_residential_ratio,0.12792770244795623,0.5135246663540011,4.362626599999203,2,False
19,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio,poi_food_beverage_ratio,0.12793246985097997,0.5139383376786049,6.148698999997578,2,False
18,weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,station_id,0.1283590839976356,0.5109472979022226,4.807493500000419,3,False
18,station_id|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,weekday,0.12865759743919722,0.5094800209905824,5.007648599999811,3,False
18,station_id|weekday|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,hour,0.13188382604853757,0.4940841406160509,3.686112499999581,3,False
18,station_id|weekday|hour|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,is_holiday,0.12823366098401945,0.5122948881737497,4.701530099999218,3,False
18,station_id|weekday|hour|is_holiday|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,temperature,0.1299796876190656,0.4968074605940511,5.1195151000029,3,False
18,station_id|weekday|hour|is_holiday|temperature|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,rain,0.12792636802668697,0.5122624272896791,4.9505323999983375,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,charge_count,0.12827103218769959,0.5120146957302877,3.726351799999975,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,s_price,0.12824733944528469,0.5114474160576363,5.302098999996815,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,e_price,0.128367946722795,0.5111895496284409,5.550166799999715,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,station_avg_occupancy,0.1378890298187116,0.47735425711102974,4.147750600001018,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,station_avg_duration,0.12889330458626014,0.5073144876952389,4.3145789000009245,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,is_morning_peak,0.12809223620467267,0.5135755983467287,4.811255399999936,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_total_count,0.12820739504727927,0.5130806219135042,4.92279729999791,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_lifestyle_services_count,0.1281598742120399,0.5129812805695307,5.336756900000182,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_business_residential_count,0.12827136908143788,0.5122432386225767,5.282520099997782,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_lifestyle_ratio|poi_business_residential_ratio|poi_food_beverage_ratio,poi_food_beverage_count,0.12821559947370292,0.5125642783663718,5.546129499998642,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_business_residential_ratio|poi_food_beverage_ratio,poi_lifestyle_ratio,0.1281903168869672,0.5125527512302477,5.498553899997205,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_food_beverage_ratio,poi_business_residential_ratio,0.12811480650120022,0.5131032061367249,4.9291554000010365,3,False
18,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count|poi_food_beverage_count|poi_lifestyle_ratio|poi_business_residential_ratio,poi_food_beverage_ratio,0.12808336721467106,0.5129174742634262,5.2251164999979665,3,False
