split,model,feature,importance
station_holdout_80_20,baseline,s_price,0.027582334
station_holdout_80_20,baseline,e_price,0.025671868
station_holdout_80_20,baseline,station_id,0.022344975
station_holdout_80_20,baseline,weekday,0.015831286
station_holdout_80_20,baseline,temperature,0.01432487
station_holdout_80_20,baseline,humidity,0.011337136
station_holdout_80_20,baseline,is_holiday,0.009733521
station_holdout_80_20,baseline,rain,0.009436336
station_holdout_80_20,baseline_peak,station_avg_occupancy,0.6319472
station_holdout_80_20,baseline_peak,station_avg_duration,0.105464235
station_holdout_80_20,baseline_peak,charge_count,0.055365436
station_holdout_80_20,baseline_peak,hour,0.050889507
station_holdout_80_20,baseline_peak,s_price,0.029893389
station_holdout_80_20,baseline_peak,e_price,0.024652181
station_holdout_80_20,baseline_peak,station_id,0.022477511
station_holdout_80_20,baseline_peak,temperature,0.014790654
station_holdout_80_20,baseline_peak,weekday,0.014154788
station_holdout_80_20,baseline_peak,humidity,0.012629437
station_holdout_80_20,baseline_peak,is_holiday,0.0111010205
station_holdout_80_20,baseline_peak,rain,0.010611082
station_holdout_80_20,baseline_peak,is_morning_peak,0.008120936
station_holdout_80_20,baseline_peak,is_evening_peak,0.0079025915
station_holdout_80_20,baseline_poi_counts,station_avg_occupancy,0.67343825
station_holdout_80_20,baseline_poi_counts,station_avg_duration,0.07613915
station_holdout_80_20,baseline_poi_counts,hour,0.04378352
station_holdout_80_20,baseline_poi_counts,charge_count,0.03658512
station_holdout_80_20,baseline_poi_counts,poi_food_beverage_count,0.020556102
station_holdout_80_20,baseline_poi_counts,s_price,0.020528583
station_holdout_80_20,baseline_poi_counts,e_price,0.01947997
station_holdout_80_20,baseline_poi_counts,station_id,0.016515559
station_holdout_80_20,baseline_poi_counts,poi_business_residential_count,0.016145341
station_holdout_80_20,baseline_poi_counts,weekday,0.015323471
station_holdout_80_20,baseline_poi_counts,temperature,0.013086761
station_holdout_80_20,baseline_poi_counts,poi_total_count,0.011213103
station_holdout_80_20,baseline_poi_counts,poi_lifestyle_services_count,0.009649247
station_holdout_80_20,baseline_poi_counts,is_holiday,0.009602451
station_holdout_80_20,baseline_poi_counts,rain,0.009420049
station_holdout_80_20,baseline_poi_counts,humidity,0.0085333465
station_holdout_80_20,baseline_poi_counts_ratios,station_avg_occupancy,0.647547
station_holdout_80_20,baseline_poi_counts_ratios,station_avg_duration,0.078213856
station_holdout_80_20,baseline_poi_counts_ratios,poi_food_beverage_ratio,0.04280418
station_holdout_80_20,baseline_poi_counts_ratios,hour,0.03739593
station_holdout_80_20,baseline_poi_counts_ratios,charge_count,0.026586935
station_holdout_80_20,baseline_poi_counts_ratios,e_price,0.017726436
station_holdout_80_20,baseline_poi_counts_ratios,poi_total_count,0.01666242
station_holdout_80_20,baseline_poi_counts_ratios,poi_business_residential_ratio,0.015596834
station_holdout_80_20,baseline_poi_counts_ratios,s_price,0.014322603
station_holdout_80_20,baseline_poi_counts_ratios,weekday,0.012877051
station_holdout_80_20,baseline_poi_counts_ratios,poi_business_residential_count,0.012707554
station_holdout_80_20,baseline_poi_counts_ratios,poi_food_beverage_count,0.011881993
station_holdout_80_20,baseline_poi_counts_ratios,temperature,0.011611555
station_holdout_80_20,baseline_poi_counts_ratios,station_id,0.011391617
station_holdout_80_20,baseline_poi_counts_ratios,poi_lifestyle_ratio,0.010434894
station_holdout_80_20,baseline_poi_counts_ratios,humidity,0.0087037105
station_holdout_80_20,baseline_poi_counts_ratios,poi_lifestyle_services_count,0.0083308965
station_holdout_80_20,baseline_poi_counts_ratios,is_holiday,0.007619091
station_holdout_80_20,baseline_poi_counts_ratios,rain,0.007585393
station_holdout_80_20,weak_no_station_history,e_price,0.26163203
station_holdout_80_20,weak_no_station_history,s_price,0.2564064
station_holdout_80_20,weak_no_station_history,charge_count,0.21184655
station_holdout_80_20,weak_no_station_history,hour,0.1010693
station_holdout_80_20,weak_no_station_history,rain,0.038466908
station_holdout_80_20,weak_no_station_history,temperature,0.035583116
station_holdout_80_20,weak_no_station_history,weekday,0.034202438
station_holdout_80_20,weak_no_station_history,humidity,0.032182876
station_holdout_80_20,weak_no_station_history,is_holiday,0.02861048
station_holdout_80_20,weak_no_station_history_poi,s_price,0.12783302
station_holdout_80_20,weak_no_station_history_poi,e_price,0.10867462
station_holdout_80_20,weak_no_station_history_poi,poi_food_beverage_ratio,0.105422996
station_holdout_80_20,weak_no_station_history_poi,poi_business_residential_ratio,0.1025809
station_holdout_80_20,weak_no_station_history_poi,charge_count,0.08807359
station_holdout_80_20,weak_no_station_history_poi,poi_food_beverage_count,0.08436597
station_holdout_80_20,weak_no_station_history_poi,poi_lifestyle_ratio,0.07856483
station_holdout_80_20,weak_no_station_history_poi,poi_total_count,0.07412162
station_holdout_80_20,weak_no_station_history_poi,poi_business_residential_count,0.07387757
station_holdout_80_20,weak_no_station_history_poi,poi_lifestyle_services_count,0.06937809
station_holdout_80_20,weak_no_station_history_poi,hour,0.036386456
station_holdout_80_20,weak_no_station_history_poi,temperature,0.014277532
station_holdout_80_20,weak_no_station_history_poi,weekday,0.0126786055
station_holdout_80_20,weak_no_station_history_poi,humidity,0.008073847
station_holdout_80_20,weak_no_station_history_poi,is_holiday,0.007873862
station_holdout_80_20,weak_no_station_history_poi,rain,0.007816479
