split,features,rows,train_rows,test_rows,stations,cutoff_time,train_start,train_end,test_start,test_end,target,mae,r2
random_75_25,16,355750,266812,88938,1423,,,,,,occupancy_rate,0.13436069485068436,0.37144945879152025
time_unique_80_20,16,355750,284558,71192,1423,2023-01-23T19:05:00,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00,occupancy_rate,0.14353323755457006,0.29800742411396297
