split,model,features,rows,train_rows,test_rows,mae,r2,elapsed_seconds,cutoff_time
random_75_25,with_month,19,355585,266688,88897,0.01722405258266696,0.946537717586866,1.7466443000012077,
random_75_25,without_month,18,355585,266688,88897,0.017233624397827947,0.9468276118333276,1.491340600001422,
time_unique_80_20,with_month,19,355585,284431,71154,0.010333840911425444,0.9806494863414165,1.504064799999469,2023-01-23T19:30:00
time_unique_80_20,without_month,18,355585,284431,71154,0.010314878099330176,0.980789947194786,1.387524100002338,2023-01-23T19:30:00
