split,features,rows,train_rows,test_rows,mae,r2,elapsed_seconds,cutoff_time,train_start,train_end,test_start,test_end
random_75_25,13,355531,266648,88883,0.1633023581942023,0.34721368625543814,1.585990399998991,,,,,
time_unique_80_20,13,355531,284719,70812,0.16677243898328106,0.3263094728082354,1.4047901000012644,2023-01-23T19:25:00,2022-09-01T01:55:00,2023-01-23T19:20:00,2023-01-23T19:25:00,2023-02-28T23:40:00
