feature_set,target,features,rows,train_rows,test_rows,stations,mae,r2,elapsed_seconds,split,cutoff_time,train_start,train_end,test_start,test_end
horizon_context_lag_no_station_id,target_occupancy_rate,52,720000,576236,143764,1423,0.023526576991509,0.950466649976994,31.77280159998918,fixed_time_holdout,2023-01-23T19:05:00,2022-09-01T01:00:00,2023-01-23T18:25:00,2023-01-23T22:45:00,2023-02-28T19:30:00
horizon_history_core_lag,target_occupancy_rate,18,720000,576236,143764,1423,0.023897679733464454,0.95002292803101,18.28595910000149,fixed_time_holdout,2023-01-23T19:05:00,2022-09-01T01:00:00,2023-01-23T18:25:00,2023-01-23T22:45:00,2023-02-28T19:30:00
horizon_lag_only,target_occupancy_rate,16,720000,576236,143764,1423,0.022386735417271257,0.9483905584091238,14.030339699995238,fixed_time_holdout,2023-01-23T19:05:00,2022-09-01T01:00:00,2023-01-23T18:25:00,2023-01-23T22:45:00,2023-02-28T19:30:00
horizon_context,target_occupancy_rate,44,720000,576236,143764,1423,0.12396418968597823,0.52027020444147,34.793767499999376,fixed_time_holdout,2023-01-23T19:05:00,2022-09-01T01:00:00,2023-01-23T18:25:00,2023-01-23T22:45:00,2023-02-28T19:30:00
