stage,trial,metric_scope,features,train_rows,eval_rows,mae,r2,elapsed_seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
stage1,26,validation,52,485605,90631,0.029492541904959733,0.929111028484493,20.753351399995154,500,8,0.08,1.0,1.0,10,0.01,10.0
stage1,41,validation,52,485605,90631,0.029512016656359094,0.9295377254173716,10.063959899998736,500,6,0.06,0.7,1.0,1,1.0,3.0
stage1,13,validation,52,485605,90631,0.029513959467902393,0.9289687006066438,14.823091500002192,500,6,0.06,1.0,0.85,3,1.0,5.0
stage2,35,validation,52,485605,90631,0.029532447993617813,0.9290705147293957,14.29148830001941,500,7,0.0125,0.8,0.8,2,0.001,2.0
stage1,69,validation,52,485605,90631,0.02954990248978275,0.9290915128062496,5.981454499997199,300,6,0.06,1.0,1.0,3,1.0,10.0
stage1,45,validation,52,485605,90631,0.02955951465033016,0.9303109350221953,25.27472429999034,1200,6,0.01,0.85,0.85,10,0.0,10.0
stage1,5,validation,52,485605,90631,0.02956829565880837,0.9281189273874306,62.33992389999912,1200,8,0.04,0.7,0.7,1,0.01,10.0
stage1,29,validation,52,485605,90631,0.029577375265419394,0.9291074472575684,12.697222799994051,500,6,0.08,0.7,1.0,5,1.0,10.0
stage1,39,validation,52,485605,90631,0.029600088734215706,0.9295442980107035,14.839729700004682,800,6,0.02,1.0,1.0,10,0.01,3.0
stage1,16,validation,52,485605,90631,0.029617169108695225,0.9298133049607359,23.59827519999817,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,35,validation,52,485605,90631,0.029664806272511494,0.9293866754593555,13.934537699999055,500,6,0.08,1.0,1.0,10,0.1,10.0
stage1,73,validation,52,485605,90631,0.02969548394973373,0.9289421455166591,7.0517260000051465,300,6,0.06,0.7,1.0,1,0.1,1.0
stage1,77,validation,52,485605,90631,0.029712563058312397,0.9295602243344108,12.589180899987696,500,6,0.02,0.7,0.7,5,0.1,10.0
stage1,59,validation,52,485605,90631,0.02971771962531496,0.9274401738953186,30.69452160000219,1200,8,0.04,0.85,0.85,1,0.0,3.0
stage1,71,validation,52,485605,90631,0.029747759657520148,0.9285017006252188,17.915282200003276,800,6,0.06,0.7,1.0,5,0.0,5.0
stage1,58,validation,52,485605,90631,0.029760108412402463,0.9290353508791919,9.461830700020073,500,6,0.08,0.85,0.85,10,0.1,3.0
stage2,39,validation,52,485605,90631,0.029762081066999478,0.9284920615765828,23.96621280000545,800,7,0.0075,0.6,0.8,1,0.001,0.5
stage1,46,validation,52,485605,90631,0.029767431542076447,0.9277985111016812,22.36319299999741,1200,6,0.04,0.85,1.0,3,0.0,3.0
stage1,3,validation,52,485605,90631,0.029779163832713926,0.928177776104398,26.5195015000063,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,10,validation,52,485605,90631,0.029779381847581637,0.9278880173746847,38.6506861000089,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,51,validation,52,485605,90631,0.029785267731171884,0.9282954181479031,14.904021100024693,800,6,0.06,0.85,1.0,10,0.0,5.0
stage1,38,validation,52,485605,90631,0.029786149775165686,0.9284389153611976,6.275925399997504,300,6,0.08,0.85,0.85,1,0.01,3.0
stage1,34,validation,52,485605,90631,0.029817743404624102,0.9291039392345412,20.8253260999918,800,6,0.01,0.85,0.7,3,0.01,3.0
stage1,78,validation,52,485605,90631,0.02985070737006189,0.9272260471989695,23.78174769997713,800,8,0.06,0.85,0.85,3,0.1,5.0
stage1,70,validation,52,485605,90631,0.02987397874561835,0.9289808767211513,17.347912400000496,500,8,0.01,0.7,0.7,1,0.01,1.0
stage1,67,validation,52,485605,90631,0.029929085360931525,0.9287187596303991,15.993915500002913,800,5,0.08,0.7,1.0,10,1.0,1.0
