model,features,rows,stations,mae,r2,elapsed_seconds
with_is_weekend,12,355750,1423,0.16410643141546932,0.3461644282036298,1.7938113000000158
without_is_weekend,11,355750,1423,0.16400210401342394,0.3479939419442616,1.3803963999998814
with_history_holiday_peak,19,355585,1423,0.01722405258266696,0.946537717586866,
without_month,18,355585,1423,0.017233624397827947,0.9468276118333276,
