split,prediction_horizon_min,test_rows,mae,r2
time_unique_80_20,15,17714,0.014827125156318758,0.9703121116889666
time_unique_80_20,30,17756,0.018635898579535137,0.9607858422309673
time_unique_80_20,45,17814,0.02349465839764841,0.94989522460389
time_unique_80_20,60,17528,0.02652085671483762,0.9414225634385616
