stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
stage1,16,validation,30.0,10182,0.24292622524049884,0.02599948036004629,0.10702623948610984,0.9414374639138304,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,16,validation,45.0,10105,0.24047493207258544,0.03091489413447809,0.12855765824749948,0.9244468383981527,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,16,validation,60.0,10084,0.24538690556167989,0.03703200171610962,0.1509127051068393,0.9081976286926002,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,16,validation,90.0,9989,0.23830317805463633,0.04470650801710316,0.18760349057054201,0.8851865389978748,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,16,validation,120.0,9948,0.24625713515464295,0.05107115150873145,0.20738952995883803,0.8734839738194813,800,6,0.04,1.0,0.7,10,0.0,10.0
stage1,17,validation,5.0,10033,0.24673761397355856,0.014460330678863447,0.05860610567634441,0.9722877281294644,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,10.0,10226,0.24492056776600468,0.018752627026894543,0.07656615856292913,0.9514716717055948,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,15.0,10050,0.24787172644001382,0.019722650038969024,0.07956796978110371,0.958814437927812,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,20.0,10014,0.24464012772246985,0.021153557193583108,0.08646805980080505,0.955140971133336,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,30.0,10182,0.24292622524049884,0.025401181227550383,0.10456335540719416,0.9422046412750159,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,45.0,10105,0.24047493207258544,0.03033658596291905,0.12615279980102953,0.9263133372388488,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,60.0,10084,0.24538690556167989,0.03627664365731329,0.14783447215440304,0.90924770727752,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,90.0,9989,0.23830317805463633,0.044043337442193235,0.18482060458335692,0.8860002438018708,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,17,validation,120.0,9948,0.24625713515464295,0.050936176259634904,0.2068414230014019,0.8720446919448159,500,8,0.02,0.85,1.0,10,0.01,10.0
stage1,18,validation,5.0,10033,0.24673761397355856,0.014818286719474326,0.06005686154143614,0.9708135814156335,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,10.0,10226,0.24492056776600468,0.01925091390830921,0.07860064217514551,0.948872389624293,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,15.0,10050,0.24787172644001382,0.020321285522727158,0.08198307170642558,0.9568175469851504,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,20.0,10014,0.24464012772246985,0.021659577212707722,0.08853648587560936,0.9534331341024838,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,30.0,10182,0.24292622524049884,0.026200061638643673,0.107851927525344,0.9387926164974817,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,45.0,10105,0.24047493207258544,0.03072962476833557,0.1277872271487328,0.9234838784407385,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,60.0,10084,0.24538690556167989,0.03650317535223266,0.1487576334551287,0.9080926705217236,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,90.0,9989,0.23830317805463633,0.044214834532457274,0.18554026384960773,0.8847043468175795,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,18,validation,120.0,9948,0.24625713515464295,0.050949330811116016,0.20689484095200403,0.8719014147632547,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,19,validation,5.0,10033,0.24673761397355856,0.016151888115382415,0.06546179909607669,0.9710638793480909,300,6,0.02,0.85,0.85,5,0.01,5.0
stage1,19,validation,10.0,10226,0.24492056776600468,0.02015513696687,0.08229254550040922,0.9502126576073758,300,6,0.02,0.85,0.85,5,0.01,5.0
