neighbor_scenario,neighbor_feature_count,neighbor_features,features,feature_list,mae,r2,elapsed_seconds
radius_3000m,3,neighbor_count|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,0.12778893301911412,0.5143713320789095,5.046288399997138
radius_3000m,3,neighbor_avg_peak_occupancy|neighbor_avg_duration|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_peak_occupancy|neighbor_avg_duration|neighbor_avg_charge_count,0.12782739574206645,0.5143419692294502,5.675250700001925
radius_3000m,3,neighbor_count|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy,0.12776504506194603,0.5143309268186755,5.060242800002015
radius_3000m,3,neighbor_avg_distance_m|neighbor_max_station_occupancy|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_max_station_occupancy|neighbor_avg_same_hour_occupancy,0.12774656379101704,0.5143111309297785,6.396209999998973
radius_3000m,3,neighbor_avg_distance_m|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy,0.12773353521870567,0.5142804739983802,5.310791699997935
radius_3000m,2,neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy,0.1278634739463819,0.5142436638533107,4.946959599998081
radius_3000m,3,neighbor_count|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,0.1276983438337343,0.5142322947593028,5.288735699999961
radius_3000m,3,neighbor_max_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_duration,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_max_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_duration,0.12783504628418912,0.5142318576197691,5.4890128999977605
radius_3000m,3,neighbor_count|neighbor_avg_distance_m|neighbor_avg_station_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_distance_m|neighbor_avg_station_occupancy,0.12789200114094054,0.5142143697512704,5.234122599998955
radius_3000m,3,neighbor_count|neighbor_avg_distance_m|neighbor_avg_peak_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_distance_m|neighbor_avg_peak_occupancy,0.1277625162481594,0.5141956585116982,5.543177999999898
radius_3000m,3,neighbor_avg_distance_m|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,0.12782087704676132,0.5141938668300932,5.1876774999982445
radius_3000m,3,neighbor_avg_distance_m|neighbor_avg_charge_count|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_avg_charge_count|neighbor_avg_same_hour_occupancy,0.12778799038315589,0.5141844333339505,5.580961200001184
radius_3000m,2,neighbor_max_station_occupancy|neighbor_avg_charge_count,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_max_station_occupancy|neighbor_avg_charge_count,0.1278755523585916,0.5141664105592896,5.119280900002195
radius_3000m,2,neighbor_avg_distance_m|neighbor_max_station_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_max_station_occupancy,0.12787218965956262,0.5141560168121264,5.5201430000015534
radius_3000m,2,neighbor_count|neighbor_avg_distance_m,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_distance_m,0.12776032419335331,0.5141411752375273,5.192537200000515
radius_3000m,3,neighbor_count|neighbor_avg_duration|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_duration|neighbor_avg_charge_count,0.12781292687650653,0.5141409131760006,5.051219500001025
radius_3000m,2,neighbor_avg_station_occupancy|neighbor_max_station_occupancy,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_max_station_occupancy,0.12781067916456715,0.514122593053018,5.175191400001495
radius_3000m,3,neighbor_count|neighbor_avg_station_occupancy|neighbor_avg_duration,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_station_occupancy|neighbor_avg_duration,0.12783202289294462,0.5141152910900466,5.486695100000361
radius_3000m,3,neighbor_avg_distance_m|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_distance_m|neighbor_avg_peak_occupancy|neighbor_avg_same_hour_occupancy,0.12773540986372164,0.5140929167805034,9.521579299998848
radius_3000m,3,neighbor_count|neighbor_avg_peak_occupancy|neighbor_avg_duration,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_avg_peak_occupancy|neighbor_avg_duration,0.12778867897077179,0.5140650902066719,4.866168199998356
radius_3000m,3,neighbor_max_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_max_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,0.12789664270520198,0.514052038183697,5.226077899998927
radius_3000m,3,neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_charge_count,0.12795161047655007,0.5140314195098544,5.748897299999953
radius_3000m,3,neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_duration,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_avg_peak_occupancy|neighbor_avg_duration,0.12790709010107645,0.5140208676000291,5.619909599998209
radius_3000m,3,neighbor_avg_station_occupancy|neighbor_max_station_occupancy|neighbor_avg_same_hour_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy|neighbor_max_station_occupancy|neighbor_avg_same_hour_occupancy,0.12781533771743384,0.5140197960478912,5.474477899999329
radius_3000m,1,neighbor_avg_station_occupancy,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_avg_station_occupancy,0.12791998842752006,0.5139992499710184,5.384246499997971
radius_3000m,3,neighbor_count|neighbor_max_station_occupancy|neighbor_avg_peak_occupancy,17,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio|neighbor_count|neighbor_max_station_occupancy|neighbor_avg_peak_occupancy,0.12778977418041962,0.5139412401063597,6.075809600002685
