prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2
5.0,15809,0.24455109794709118,0.012073341123062721,0.04936940060549144,0.9799498982921684
10.0,15992,0.24536802342201067,0.013963404984733627,0.05690800614519293,0.9742267906305625
15.0,15979,0.2448677131593151,0.015087589809813352,0.061615268159086,0.9720524741128402
20.0,16042,0.24382847982476244,0.017075268436699563,0.07002983592799095,0.9659894476341749
30.0,15984,0.244485234607997,0.020174515764682,0.0825183402058183,0.9618906843474347
45.0,16012,0.24211621182388135,0.02369424193287509,0.09786309538871608,0.955410303748079
60.0,15839,0.24330955020490083,0.02896392907471436,0.11904148049397428,0.9393335852531777
90.0,16030,0.2459029817494345,0.03766888964255172,0.15318598161991723,0.9119712826576142
120.0,16077,0.2431277879594863,0.04283416701175725,0.17617964351691026,0.8943161802877403
