split,model,features,rows,train_rows,test_rows,mae,r2,elapsed_seconds,cutoff_time,train_start,train_end,test_start,test_end
random_75_25,deployable_baseline,13,355585,266688,88897,0.1633195384200244,0.3513023564891876,1.6070838999985426,,,,,
time_unique_80_20,deployable_baseline,13,355585,284431,71154,0.16823753640387065,0.3141808123471641,1.4835104000012507,2023-01-23T19:30:00,2022-09-01T02:00:00,2023-01-23T19:25:00,2023-01-23T19:30:00,2023-02-28T23:55:00
